megnevezes,irsz
Penyige,4941
Mánd,4942
Nemesborzova,4942
Kömörõ,4943
Túristvándi,4944
Szatmárcseke,4945
Tiszakóród,4946
Tiszacsécse,4947
Milota,4948
Tiszabecs,4951
Uszka,4952
Magosliget,4953
Sonkád,4954
Botpalád,4955
Kispalád,4956
Zsarolyán,4961
Nagyszekeres,4962
Kisszekeres,4963
Fülesd,4964
Kölcse,4965
Vámosoroszi,4966
Csaholc,4967
Túrricse,4968
Tisztaberek,4969
Rozsály,4971
Gacsály,4972
Császló,4973
Zajta,4974
Méhtelek,4975
Garbolc,4976
Nagyhódos,4977
Kishódos,4977
Szolnok,5000
Szolnok - Szandaszõlõs,5008
Zagyvarékas,5051
Újszász,5052
Szászberek,5053
Jászalsószentgyörgy,5054
Jászladány,5055
Tiszasüly,5061
Kõtelek,5062
Hunyadfalva,5063
Csataszög,5064
Nagykörû,5065
Besenyszög,5071
Szajol,5081
Tiszatenyõ,5082
Kengyel,5083
Rákócziújfalu,5084
Rákóczifalva,5085
Tószeg,5091
Tiszavárkony,5092
Vezseny,5093
Tiszajenõ,5094
Tiszavárkony - TiszavárkonyiSzõlõk,5095
Jászberény,5100
Jászfelsõszentgyörgy,5111
Jászjákóhalma,5121
Jászdózsa,5122
Jászárokszállás,5123
Jászágó,5124
Pusztamonostor,5125
Jászfényszaru,5126
Jászapáti,5130
Jászivány,5135
Jászszentandrás,5136
Jászkisér,5137
Jásztelek,5141
Alattyán,5142
Jánoshida,5143
Jászboldogháza,5144
Jászberény - Portelek,5152
Törökszentmiklós - ,5200
Tiszapüspöki,5211
Törökszentmiklós - Surjány,5212
Fegyvernek - Szapárfalu,5213
Örményes,5222
